waktu,nodes,running,creating,pending
11:54:31,2,0,0,0
11:54:34,2,0,0,0
11:54:36,2,0,0,0
11:54:39,2,0,5,0
11:54:42,2,5,0,0
11:54:45,2,5,0,0
11:54:47,2,5,0,0
11:54:50,2,5,0,0
11:54:53,2,5,0,0
11:54:56,2,5,0,0
11:54:58,2,5,0,0
11:55:01,2,5,0,0
11:55:04,2,5,0,0
11:55:07,2,5,0,0
11:55:10,2,5,0,0
11:55:12,2,5,0,0
11:55:15,2,5,0,0
11:55:18,2,5,0,0
11:55:21,2,5,0,0
11:55:23,2,5,0,0
11:55:26,2,5,0,0
11:55:29,2,5,0,0
11:55:32,2,5,0,0
11:55:35,2,5,0,0
11:55:37,2,5,5,0
11:55:40,2,10,0,0
11:55:43,2,10,0,0
11:55:46,2,10,0,0
11:55:49,2,10,0,0
11:55:51,2,10,0,0
11:55:54,2,10,0,0
11:55:57,2,10,0,0
11:56:00,2,10,0,0
11:56:02,2,10,0,0
11:56:05,2,10,0,0
11:56:08,2,10,0,0
11:56:11,2,10,0,0
11:56:13,2,10,0,0
11:56:16,2,10,0,0
11:56:19,2,10,0,0
11:56:22,2,10,0,0
11:56:24,2,10,0,0
11:56:27,2,10,0,0
11:56:30,2,10,0,0
11:56:33,2,10,0,0
11:56:35,2,10,0,0
11:56:38,2,10,5,0
11:56:41,2,15,0,0
11:56:44,2,15,0,0
11:56:47,2,15,0,0
11:56:49,2,15,0,0
11:56:52,2,15,0,0
11:56:55,2,15,0,0
11:56:58,2,15,0,0
11:57:01,2,15,0,0
11:57:04,2,15,0,0
11:57:06,2,15,0,0
11:57:09,2,15,0,0
11:57:12,2,15,0,0
11:57:15,2,15,0,0
11:57:18,2,15,0,0
11:57:20,2,15,0,0
11:57:23,2,15,0,0
11:57:26,2,15,0,0
11:57:29,2,15,0,0
11:57:32,2,15,0,0
11:57:34,2,15,0,0
11:57:37,2,15,0,0
11:57:40,2,20,0,0
11:57:43,2,20,0,0
11:57:46,2,20,0,0
11:57:49,2,20,0,0
11:57:51,2,20,0,0
11:57:54,2,20,0,0
11:57:57,2,20,0,0
11:58:00,2,20,0,0
11:58:03,2,20,0,0
11:58:06,2,20,0,0
11:58:08,2,20,0,0
11:58:11,2,20,0,0
11:58:14,2,20,0,0
11:58:17,2,20,0,0
11:58:20,2,20,0,0
11:58:23,2,20,0,0
11:58:25,2,20,0,0
11:58:28,2,20,0,0
11:58:31,2,20,0,0
11:58:34,2,20,0,0
11:58:37,2,20,0,0
11:58:39,2,22,0,3
11:58:42,2,22,0,3
11:58:45,2,22,0,3
11:58:48,2,22,0,3
11:58:51,2,22,0,3
11:58:54,2,22,0,3
11:58:56,2,22,0,3
11:58:59,2,22,0,3
11:59:02,2,22,0,3
11:59:05,2,22,0,3
11:59:08,2,22,0,3
11:59:11,2,22,0,3
11:59:13,2,22,0,3
11:59:16,2,22,0,3
11:59:19,2,22,0,3
11:59:22,2,22,0,3
11:59:25,2,22,0,3
11:59:28,2,22,0,3
11:59:30,2,22,0,3
11:59:33,2,22,0,3
11:59:36,2,22,0,3
11:59:39,2,22,0,8
11:59:42,2,22,0,8
11:59:45,2,22,0,8
11:59:47,2,22,0,8
11:59:50,2,22,0,8
11:59:53,2,22,0,8
11:59:56,2,22,0,8
11:59:59,2,22,0,8
12:00:02,2,22,0,8
12:00:05,2,22,0,8
12:00:07,2,22,0,8
