waktu,nodes,lab_running,lab_pending
08:07:57,1,0,0
08:08:13,1,0,0
08:08:29,1,0,0
08:08:45,1,0,0
08:09:01,1,0,0
08:09:17,1,0,0
08:09:33,1,0,0
08:09:49,1,0,0
08:10:05,1,0,0
08:10:21,1,0,0
08:10:37,1,0,0
08:10:53,1,0,23
08:11:09,1,7,23
08:11:25,1,7,23
08:11:42,3,7,23
08:11:58,3,7,23
08:12:14,3,7,0
08:12:31,3,7,0
08:12:47,3,26,0
08:13:03,3,30,0
08:13:20,3,30,0
08:13:36,3,30,0
08:13:52,3,30,0
08:14:09,3,30,0
08:14:25,3,30,0
08:14:42,3,30,0
08:14:58,3,30,0
08:15:14,3,30,0
08:15:31,3,30,0
08:15:47,3,30,0
08:16:04,3,30,0
08:16:20,3,30,0
08:16:36,3,30,0
08:16:53,3,30,0
08:17:09,3,30,0
08:17:25,3,30,0
08:17:42,3,30,0
08:17:58,3,30,0
08:18:14,3,30,0
08:18:31,3,30,0
08:18:47,3,30,0
08:19:04,3,30,0
08:19:20,3,30,0
08:19:36,3,30,0
08:19:53,3,30,0
08:20:09,3,30,0
08:20:25,3,30,0
08:20:42,3,30,0
08:20:58,3,30,0
08:21:15,3,30,0
08:21:31,3,30,0
08:21:47,3,30,0
08:22:04,3,30,0
08:22:20,3,30,0
08:22:36,3,30,0
08:22:53,3,30,0
08:23:09,3,30,0
08:23:26,3,30,0
08:23:42,3,30,0
08:23:58,3,30,0
