waktu,nodes,running,pending
03:27:50,1,0,0
03:28:06,1,7,23
03:28:23,1,7,23
03:28:39,2,7,23
03:28:55,3,7,23
03:29:11,3,7,0
03:29:28,3,7,0
03:29:44,3,7,0
03:30:01,3,30,0
03:30:17,3,30,0
03:30:34,3,30,0
03:30:50,3,30,0
03:31:06,3,30,0
03:31:23,3,30,0
03:31:39,3,30,0
03:31:56,3,30,0
03:32:12,3,30,0
03:32:28,3,30,0
03:32:45,3,30,0
03:33:01,3,30,0
03:33:18,3,30,0
03:33:34,3,30,0
03:33:50,3,30,0
03:34:07,3,30,0
03:34:23,3,30,0
03:34:40,3,30,0
03:34:56,3,30,0
03:35:13,3,30,0
03:35:29,3,30,0
03:35:45,3,30,0
03:36:02,3,30,0
03:36:18,3,30,0
03:36:34,3,30,0
03:36:51,3,30,0
03:37:07,3,30,0
03:37:24,3,30,0
03:37:40,3,30,0
03:37:57,3,30,0
03:38:13,3,30,0
03:38:29,3,30,0
03:38:46,3,30,0
03:39:02,3,30,0
03:39:18,3,30,0
03:39:35,3,30,0
03:39:51,3,30,0
03:40:08,3,30,0
03:40:24,3,30,0
03:40:41,3,30,0
03:40:57,3,30,0
